haskell-data-default-instances-dlist 0.0.1-321
haskell-data-default-instances-old-locale 0.0.1-37
haskell-data-fix 0.3.2-103
haskell-dbus 1.3.1-20
haskell-dec 0.0.5-5
haskell-digest 0.0.1.7-2
haskell-digits 0.3.1-22
haskell-distributive 0.6.2.1-210
haskell-dlist 1.0-243
haskell-doclayout 0.4.0.1-30
haskell-doctemplates 0.11-74
haskell-easy-file 0.2.5-22
haskell-emojis 0.1.3-11
haskell-erf 2.0.0.0-25
haskell-extensible-exceptions 0.1.1.4-37
haskell-extra 1.7.15-2
haskell-fast-logger 3.1.2-78
haskell-file-embed 0.0.15.0-2
haskell-foldable1-classes-compat 0.1-83
haskell-free 5.1.10-73
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glib 0.13.10.0-15
haskell-glob 0.10.2-91
haskell-gridtables 0.1.0.0-49
haskell-haddock-library 1.11.0-21
haskell-hashable 1.4.4.0-2
haskell-hinotify 0.4.1-172
haskell-hourglass 0.2.12-247
haskell-hslua 2.3.0-55
haskell-hslua-aeson 2.3.0.1-37
haskell-hslua-classes 2.3.0-56
haskell-hslua-core 2.3.1-48
haskell-hslua-list 1.1.1-63
haskell-hslua-marshalling 2.3.1-8
haskell-hslua-module-doclayout 1.1.0-61
haskell-hslua-module-path 1.1.0-56
haskell-hslua-module-system 1.1.0.1-30
haskell-hslua-module-text 1.1.0.1-30
haskell-hslua-module-version 1.1.0-56
haskell-hslua-module-zip 1.1.1-25
haskell-hslua-objectorientation 2.3.0-52
haskell-hslua-packaging 2.3.1-17
haskell-hslua-repl 0.1.2-14
haskell-hslua-typing 0.1.1-10
haskell-http 4000.4.1-199
haskell-http-api-data 0.5.1-57
haskell-http-client 0.7.15-26
haskell-http-client-tls 0.3.6.3-61
haskell-http-conduit 2.3.8.3-60
haskell-http-date 0.0.11-137
haskell-http-media 0.8.1.1-15
haskell-http-types 0.12.4-9
haskell-http2 4.1.0-25
haskell-hunit 1.6.2.0-229
haskell-indexed-traversable 0.1.3-75
haskell-indexed-traversable-instances 0.1.1.2-47
haskell-integer-logarithms 1.0.3.1-7
