01:03:38.804821 DCon133    no search string entries
01:03:38.911645 DCon140  ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
01:11:13.218012 DCon148  ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Stopping)}, preserve=false aResultDetail=0
01:11:13.228772 DCon148  Saving settings file "/home/angryluck/VirtualBox VMs/NixOS Manual Installation/NixOS Manual Installation.vbox" with version "1.19-linux"
01:11:13.233284 DCon148  Finished saving settings file "/home/angryluck/VirtualBox VMs/NixOS Manual Installation/NixOS Manual Installation.vbox"
01:11:13.234452 DCon148  ERROR [COM]: aRC=NS_ERROR_INVALID_ARG (0x80070057) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={Properties with TRANSIENT or TRANSRESET flag cannot be set or modified if VM is not running}, preserve=false aResultDetail=0
01:11:13.278178 DCon148  ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
01:11:14.329899 DCon148  ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
01:42:57.304030 main     VirtualBox: object deletion starts
01:42:57.304078 main     ERROR [COM]: aRC=VBOX_E_OBJECT_IN_USE (0x80bb000c) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Medium '/home/angryluck/VirtualBox VMs/NixOS Manual Installation/NixOS Manual Installation.vdi' cannot be closed because it is still attached to 1 virtual machines}, preserve=false aResultDetail=0
01:42:57.304810 main     HostDnsMonitor: shutting down ...
01:42:57.317169 main     HostDnsMonitor: shut down
01:42:57.341403 Watcher  ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={d644ad1e-c501-4fc7-9ab6-aa6d763bc540} aComponent={VirtualBoxWrap} aText={The object is not ready}, preserve=false aResultDetail=0
01:42:57.341471 main     VirtualBox: object deleted
